SeqCluster,ClusterNumber,InterPro_id,Most represented functional category_x
CK_00034062,CK_Syn_WH8020_00919,IPR001421, 
CK_00034063,CK_Syn_BIOS-E4-1_03779, , 
CK_00034064,CK_Syn_WH8020_00918,IPR007836, 
CK_00034066,CK_Syn_WH8020_00950, , 
CK_00034067,CK_Syn_WH8020_00925, , 
CK_00034068,CK_Syn_WH8020_00958,IPR004000  IPR004001  IPR043129, 
CK_00034069,CK_Syn_BIOS-E4-1_02383, , 
CK_00034070,CK_Syn_WH8020_00957,IPR007836, 
CK_00034071,CK_Syn_BIOS-E4-1_02390,IPR002204  IPR006115  IPR036291, 
CK_00034072,CK_Syn_WH8020_00973,IPR029186, 
CK_00034073,CK_Syn_BIOS-E4-1_03768, , 
CK_00034074,CK_Syn_WH8020_00970, , 
CK_00034075,CK_Syn_BIOS-E4-1_02398, , 
CK_00034077,CK_Syn_BIOS-E4-1_03994, , 
CK_00034079,CK_Syn_WH8020_00914,IPR005673  IPR024370  IPR050962,IPR024370
CK_00034080,CK_Syn_BIOS-E4-1_03786, , 
CK_00034081,CK_Syn_WH8020_00906,IPR029001  IPR026533  IPR050299, 
CK_00034082,CK_Syn_BIOS-E4-1_03989, , 
CK_00034083,CK_Syn_BIOS-E4-1_03781,IPR002132  IPR022803, 
CK_00034084,CK_Syn_WH8020_00878, , 
CK_00034085,CK_Syn_WH8020_00875, , 
CK_00034086,CK_Syn_WH8020_00873, , 
CK_00034087,CK_Syn_BIOS-E4-1_03802, , 
CK_00034088,CK_Syn_WH8020_00869, , 
CK_00034089,CK_Syn_WH8020_00902, , 
CK_00034090,CK_Syn_BIOS-E4-1_03800, , 
CK_00034091,CK_Syn_WH8020_00895,IPR012565, 
CK_00034092,CK_Syn_BIOS-E4-1_01746,IPR004288, 
CK_00034093,CK_Syn_WH8020_00894, , 
CK_00034094,CK_Syn_BIOS-E4-1_02913,IPR007836, 
CK_00034095,CK_Syn_WH8020_00883,IPR031429, 
CK_00034096,CK_Syn_BIOS-E4-1_02912,IPR007836, 
CK_00034097,CK_Syn_WH8020_00752,IPR038463  IPR019666, 
CK_00034098,CK_Syn_WH8020_00755,IPR007836, 
CK_00034099,CK_Syn_WH8020_00754,IPR031429, 
CK_00034100,CK_Syn_WH8020_00759,IPR007836, 
CK_00034101,CK_Syn_WH8020_00758, , 
CK_00034102,CK_Syn_WH8020_00761, , 
CK_00034103,CK_Syn_WH8020_00762,IPR009309, 
CK_00034104,CK_Syn_WH8020_00764, , 
CK_00034105,CK_Syn_WH8020_00765, , 
CK_00034106,CK_Syn_WH8020_00766,IPR031429,IPR005519
CK_00034107,CK_Syn_WH8020_00778, ,IPR025016
CK_00034108,CK_Syn_WH8020_00776, , 
CK_00034109,CK_Syn_WH8020_00784, , 
CK_00034110,CK_Syn_WH8020_00783, , 
CK_00034111,CK_Syn_WH8020_00782, , 
CK_00034112,CK_Syn_WH8020_00781, , 
CK_00034114,CK_Syn_WH8020_00794,IPR007836, 
CK_00034115,CK_Syn_WH8020_00785,IPR023324  IPR007920, 
CK_00034116,CK_Syn_WH8020_00786, , 
CK_00034118,CK_Syn_WH8020_00692,IPR007836, 
CK_00034120,CK_Syn_WH8020_00713, , 
CK_00034121,CK_Syn_WH8020_00714,IPR029186, 
CK_00034122,CK_Syn_WH8020_00715, , 
CK_00034123,CK_Syn_WH8020_00694,IPR049607, 
CK_00034128,CK_Syn_WH8020_00718,IPR035306, 
CK_00034129,CK_Syn_WH8020_00717, , 
CK_00034130,CK_Syn_WH8020_00716,IPR007836, 
CK_00034131,CK_Syn_WH8020_00739, , 
CK_00034132,CK_Syn_WH8020_00740, , 
CK_00034133,CK_Syn_WH8020_00737,IPR007836, 
CK_00034134,CK_Syn_WH8020_00738,IPR033121  IPR021109, 
CK_00034135,CK_Syn_WH8020_00720,IPR000889  IPR029760,IPR003526|IPR020555
CK_00034136,CK_Syn_WH8020_00735,IPR021570, 
CK_00034137,CK_Syn_WH8020_00805,IPR049607, 
CK_00034138,CK_Syn_WH8020_00806, , 
CK_00034139,CK_Syn_WH8020_00810, , 
CK_00034140,CK_Syn_WH8020_00815,IPR049607, 
CK_00034141,CK_Syn_WH8020_00796, , 
CK_00034142,CK_Syn_WH8020_00799,IPR007836, 
CK_00034143,CK_Syn_WH8020_00804, , 
CK_00034145,CK_Syn_WH8020_00816, , 
CK_00034146,CK_Syn_WH8020_00820,IPR003687  IPR037270, 
CK_00034147,CK_Syn_A15-28_02695,IPR029186, 
CK_00034148,CK_Syn_A15-28_02672,IPR007836, 
CK_00034149,CK_Syn_A15-28_02643, , 
CK_00034150,CK_Syn_A15-28_00353,IPR049776, 
CK_00034153,CK_Syn_A15-28_02619, , 
CK_00034154,CK_Syn_A15-28_02593,IPR007836, 
CK_00034155,CK_Syn_BIOS-E4-1_00720,IPR007836, 
CK_00034157,CK_Syn_BIOS-E4-1_00838,IPR031429, 
CK_00034158,CK_Syn_A15-24_00099,IPR031429, 
CK_00034159,CK_Syn_BIOS-E4-1_00681,IPR007836, 
CK_00034160,CK_Syn_A15-24_00097,IPR008775,IPR008775
CK_00034163,CK_Syn_BIOS-E4-1_00823, , 
CK_00034166,CK_Syn_A15-24_00095,IPR007836, 
CK_00034167,CK_Syn_BIOS-E4-1_00815,IPR021570, 
CK_00034168,CK_Syn_A15-24_00925, , 
CK_00034170,CK_Syn_A15-24_00962,IPR007836, 
CK_00034171,CK_Syn_BIOS-E4-1_00719,IPR007836,IPR012903|IPR022516
CK_00034172,CK_Syn_A15-24_00096,IPR007836,IPR030808
CK_00034173,CK_Syn_A15-24_00092,IPR050023  IPR036514, 
CK_00034174,CK_Syn_A15-24_00091,IPR006464  IPR016181  IPR050832  IPR000182,IPR000182
CK_00034175,CK_Syn_BIOS-E4-1_00121,IPR007836, 
CK_00034176,CK_Syn_A15-28_02114, , 
CK_00034177,CK_Syn_A15-28_02113, , 
CK_00034178,CK_Syn_A15-28_02109, , 
CK_00034179,CK_Syn_A15-28_02102,IPR033121  IPR021109, 
CK_00034181,CK_Syn_A15-28_02099, , 
CK_00034182,CK_Syn_A15-28_02096,IPR021570, 
CK_00034183,CK_Syn_A15-28_00793,IPR011579  IPR027417, 
CK_00034189,CK_Syn_BIOS-E4-1_00763, , 
CK_00034191,CK_Syn_BIOS-E4-1_00764,IPR000875, 
CK_00034192,CK_Syn_BIOS-E4-1_00771,IPR007836, 
CK_00034193,CK_Syn_BIOS-E4-1_00737,IPR003687  IPR037270, 
CK_00034194,CK_Syn_BIOS-E4-1_00745, , 
CK_00034195,CK_Syn_BIOS-E4-1_00754,IPR003716  IPR006110, 
CK_00034196,CK_Syn_BIOS-E4-1_00731, , 
CK_00034197,CK_Syn_A15-24_00823,IPR031429, 
CK_00034200,CK_Syn_BIOS-E4-1_00729, , 
CK_00034201,CK_Syn_A15-24_00819, , 
CK_00034202,CK_Syn_BIOS-E4-1_00740,IPR007836, 
CK_00034203,CK_Syn_A15-24_00811,IPR000875, 
CK_00034204,CK_Syn_BIOS-E4-1_00726, , 
CK_00034205,CK_Syn_A15-24_00859, , 
CK_00034206,CK_Syn_BIOS-E4-1_00727, , 
CK_00034207,CK_Syn_A15-24_00085,IPR055270  IPR031481  IPR001503  IPR038577,IPR001503|IPR041058
CK_00034209,CK_Syn_A15-24_00828,IPR002204  IPR006115  IPR036291, 
CK_00034210,CK_Syn_BIOS-E4-1_00723, ,IPR012902
CK_00034211,CK_Syn_A15-24_00822, , 
CK_00034213,CK_Syn_BIOS-E4-1_00721,IPR003716  IPR006110  IPR036161, 
CK_00034214,CK_Syn_A15-24_00803, , 
CK_00034215,CK_Syn_A15-28_01099,IPR027214  IPR000010  IPR046350  IPR018073, 
CK_00034216,CK_Syn_A15-28_01100,IPR031429,IPR012640
CK_00034218,CK_Syn_A15-28_00424,IPR007836, 
CK_00034219,CK_Syn_A15-28_01035,IPR000084, 
CK_00034220,CK_Syn_A15-28_01098,IPR029186, 
CK_00034221,CK_Syn_A15-28_00421,IPR024249, 
CK_00034222,CK_Syn_A15-28_00412, , 
CK_00034224,CK_Syn_A15-28_00409,IPR035338, 
CK_00034225,CK_Syn_A15-28_00332, ,IPR011095|IPR011761
CK_00034226,CK_Syn_A15-28_00331,IPR013157,IPR010095
CK_00034227,CK_Syn_A15-28_00338,IPR009846  IPR017089,IPR008029
CK_00034228,CK_Syn_A15-28_00335, , 
CK_00034229,CK_Syn_A15-28_00159, , 
CK_00034230,CK_Syn_A15-28_00342,IPR031429, 
CK_00034232,CK_Syn_A15-28_00163, , 
CK_00034233,CK_Syn_A15-28_00320,IPR029186, 
CK_00034234,CK_Syn_A15-28_00147,IPR031429, 
CK_00034235,CK_Syn_A15-28_00879,IPR029186, 
CK_00034236,CK_Syn_A15-28_00888, , 
CK_00034237,CK_Syn_A15-28_02331, , 
CK_00034238,CK_Syn_A15-28_02345,IPR007826  IPR037269, 
CK_00034239,CK_Syn_A15-28_00910,IPR029186, 
CK_00034240,CK_Syn_A15-28_01246, , 
CK_00034241,CK_Syn_A15-28_02347, , 
CK_00034242,CK_Syn_A15-28_02355, , 
CK_00034244,CK_Syn_A15-28_00129, , 
CK_00034245,CK_Syn_A15-28_02359, , 
CK_00034246,CK_Syn_A15-28_00993,IPR049607, 
CK_00034248,CK_Syn_A15-28_02380, , 
CK_00034250,CK_Syn_A15-28_01033, , 
CK_00034251,CK_Syn_A15-28_01034, , 
CK_00034253,CK_Syn_A15-28_02718, , 
CK_00034254,CK_Syn_A15-28_00158, , 
CK_00034255,CK_Syn_BIOS-E4-1_04328, , 
CK_00034256,CK_Syn_BIOS-E4-1_04353,IPR029186, 
CK_00034257,CK_Syn_A15-28_00092, , 
CK_00034258,CK_Syn_BIOS-E4-1_04352,IPR031429, 
CK_00034259,CK_Syn_A15-28_00339, , 
CK_00034260,CK_Syn_BIOS-E4-1_04360,IPR007836, 
CK_00034261,CK_Syn_A15-28_02818, , 
CK_00034262,CK_Syn_BIOS-E4-1_04358, , 
CK_00034264,CK_Syn_BIOS-E4-1_00253,IPR007836, 
CK_00034265,CK_Syn_A15-28_00333, , 
CK_00034266,CK_Syn_BIOS-E4-1_03923, , 
CK_00034267,CK_Syn_A15-28_00231, , 
CK_00034268,CK_Syn_BIOS-E4-1_04347, , 
CK_00034269,CK_Syn_A15-28_00602, , 
CK_00034272,CK_Syn_A15-28_00524, , 
CK_00034273,CK_Syn_A15-28_00548, , 
CK_00034274,CK_Syn_BIOS-E4-1_03909, , 
CK_00034275,CK_Syn_BIOS-E4-1_03917,IPR007836, 
CK_00034276,CK_Syn_BIOS-E4-1_00441, , 
CK_00034277,CK_Syn_BIOS-E4-1_03973,IPR029186, 
CK_00034279,CK_Syn_BIOS-E4-1_04444, , 
CK_00034281,CK_Syn_BIOS-E4-1_04226, , 
CK_00034283,CK_Syn_BIOS-E4-1_04125,IPR007836, 
CK_00034284,CK_Syn_BIOS-E4-1_04000, , 
CK_00034285,CK_Syn_BIOS-E4-1_03983,IPR025881, 
CK_00034286,CK_Syn_BIOS-E4-1_03962,IPR025881, 
CK_00034287,CK_Syn_A15-28_00166,IPR017946,IPR029065
CK_00034288,CK_Syn_A15-28_00169,IPR005123  IPR041097  IPR023550  IPR006620  IPR044862, 
CK_00034289,CK_Syn_WH8020_00511, , 
CK_00034290,CK_Syn_WH8020_00514, , 
CK_00034292,CK_Syn_WH8020_00517,IPR031429, 
CK_00034294,CK_Syn_A15-28_00179, , 
CK_00034295,CK_Syn_WH8020_00500, , 
CK_00034296,CK_Syn_A15-28_00180, , 
CK_00034297,CK_Syn_WH8020_00502,IPR007836, 
CK_00034298,CK_Syn_A15-28_00188,IPR029063  IPR004033  IPR023576,IPR006342
CK_00034299,CK_Syn_WH8020_00509, , 
CK_00034300,CK_Syn_A15-28_00222, , 
CK_00034301,CK_Syn_A15-28_00168, , 
CK_00034302,CK_Syn_A15-28_00174,IPR007836, 
CK_00034304,CK_Syn_A15-28_00176,IPR012565, 
CK_00034305,CK_Syn_WH8020_00493,IPR021570, 
CK_00034306,CK_Syn_A15-28_00178,IPR029063  IPR004033  IPR023576, 
CK_00034307,CK_Syn_A15-28_00521, , 
CK_00034308,CK_Syn_BIOS-E4-1_03891, , 
CK_00034309,CK_Syn_A15-28_00157,IPR031429, 
CK_00034310,CK_Syn_BIOS-E4-1_00911,IPR005123  IPR041097  IPR023550  IPR006620  IPR044862,IPR007803
CK_00034311,CK_Syn_A15-28_00160,IPR036412, 
CK_00034312,CK_Syn_BIOS-E4-1_03882, , 
CK_00034313,CK_Syn_A15-28_00143,IPR031429, 
CK_00034314,CK_Syn_BIOS-E4-1_00912,IPR017684  IPR029061  IPR012001  IPR051818  IPR011766,IPR000399|IPR011766|IPR012001
CK_00034315,CK_Syn_A15-28_00149,IPR029186, 
CK_00034316,CK_Syn_BIOS-E4-1_03905, , 
CK_00034317,CK_Syn_A15-28_00456, , 
CK_00034318,CK_Syn_BIOS-E4-1_04294, ,IPR001343|IPR018511|IPR025592
CK_00034319,CK_Syn_A15-28_00142,IPR029186,IPR000037
CK_00034320,CK_Syn_BIOS-E4-1_03902, , 
CK_00034322,CK_Syn_BIOS-E4-1_00910,IPR005123  IPR041097  IPR023550  IPR006620  IPR044862, 
CK_00034323,CK_Syn_A15-28_01141,IPR001759, 
CK_00034324,CK_Syn_A15-28_00161,IPR036291  IPR002347,IPR002347|IPR020904
CK_00034325,CK_Syn_WH8020_00571,IPR002615  IPR036062, 
CK_00034327,CK_Syn_WH8020_00570, , 
CK_00034328,CK_Syn_WH8020_00573,IPR007836, 
CK_00034329,CK_Syn_WH8020_00572, , 
CK_00034330,CK_Syn_WH8020_00576, , 
CK_00034332,CK_Syn_WH8020_00575, , 
CK_00034333,CK_Syn_BIOS-E4-1_00831,IPR007836, 
CK_00034334,CK_Syn_WH8020_00579, , 
CK_00034335,CK_Syn_BIOS-E4-1_00830,IPR004952, 
CK_00034336,CK_Syn_WH8020_00577, , 
CK_00034337,CK_Syn_BIOS-E4-1_00829,IPR018922, 
CK_00034338,CK_Syn_WH8020_00581, , 
CK_00034339,CK_Syn_BIOS-E4-1_00839,IPR029186, 
CK_00034340,CK_Syn_WH8020_00580, , 
CK_00034342,CK_Syn_BIOS-E4-1_00834, , 
CK_00034343,CK_Syn_BIOS-E4-1_00833, , 
CK_00034344,CK_Syn_BIOS-E4-1_00506, , 
CK_00034345,CK_Syn_WH8020_00547,IPR009518  IPR023431, 
CK_00034346,CK_Syn_WH8020_00546, , 
CK_00034347,CK_Syn_WH8020_00519, , 
CK_00034348,CK_Syn_WH8020_00563, , 
CK_00034350,CK_Syn_WH8020_00562, , 
CK_00034351,CK_Syn_BIOS-E4-1_00797, , 
CK_00034352,CK_Syn_WH8020_00549, , 
CK_00034354,CK_Syn_WH8020_00548, ,IPR011547
CK_00034357,CK_Syn_WH8020_00569,IPR049607, 
CK_00034358,CK_Syn_BIOS-E4-1_00812, , 
CK_00034359,CK_Syn_WH8020_00568, , 
CK_00034360,CK_Syn_BIOS-E4-1_00818,IPR031429, 
CK_00034361,CK_Syn_WH8020_00567, , 
CK_00034362,CK_Syn_BIOS-E4-1_00816, , 
CK_00034363,CK_Syn_BIOS-E4-1_00821, , 
CK_00034364,CK_Syn_BIOS-E4-1_00819,IPR010673  IPR023089  IPR036806, 
CK_00034365,CK_Syn_WH8020_00663, , 
CK_00034366,CK_Syn_BIOS-E4-1_00882, , 
CK_00034367,CK_Syn_WH8020_00662, , 
CK_00034368,CK_Syn_BIOS-E4-1_00324, , 
CK_00034369,CK_Syn_WH8020_00671, , 
CK_00034370,CK_Syn_BIOS-E4-1_00198, ,IPR003423
CK_00034371,CK_Syn_WH8020_00664,IPR007836, 
CK_00034373,CK_Syn_WH8020_00656,IPR007836, 
CK_00034374,CK_Syn_BIOS-E4-1_00449,IPR007836, 
CK_00034375,CK_Syn_WH8020_00641,IPR019645, 
CK_00034376,CK_Syn_BIOS-E4-1_00861, , 
CK_00034377,CK_Syn_WH8020_00661,IPR049607, 
CK_00034378,CK_Syn_BIOS-E4-1_00858, , 
CK_00034379,CK_Syn_WH8020_00657,IPR007836, 
CK_00034380,CK_Syn_BIOS-E4-1_00885, , 
CK_00034381,CK_Syn_BIOS-E4-1_00884, , 
CK_00034382,CK_Syn_BIOS-E4-1_00883, , 
CK_00034383,CK_Syn_WH8020_00635, , 
CK_00034384,CK_Syn_WH8020_00639, , 
CK_00034385,CK_Syn_WH8020_00627,IPR032874  IPR052183, 
CK_00034387,CK_Syn_WH8020_00618, , 
CK_00034388,CK_Syn_BIOS-E4-1_00845, , 
CK_00034389,CK_Syn_WH8020_00611, , 
CK_00034390,CK_Syn_BIOS-E4-1_00853,IPR007836, 
CK_00034391,CK_Syn_WH8020_00610, , 
CK_00034392,CK_Syn_BIOS-E4-1_00852,IPR024899, 
CK_00034393,CK_Syn_WH8020_00601,IPR007836, 
CK_00034394,CK_Syn_WH8020_00599, , 
CK_00034395,CK_Syn_WH8020_00597,IPR049607, 
CK_00034396,CK_Syn_BIOS-E4-1_00843, , 
CK_00034397,CK_Syn_WH8020_00593, , 
CK_00034399,CK_Syn_BIOS-E4-1_00855, , 
CK_00034400,CK_Syn_BIOS-E4-1_00854, , 
CK_00034401,CK_Syn_BIOS-E4-1_00857, , 
CK_00034402,CK_Syn_WH8020_00633,IPR031429, 
CK_00034403,CK_Syn_BIOS-E4-1_00856,IPR013321  IPR010985,IPR053842
CK_00034404,CK_Syn_WH8020_00587, , 
CK_00034405,CK_Syn_WH8016_02313,IPR003669  IPR036098, 
CK_00034406,CK_Syn_WH8016_02311, , 
CK_00034407,CK_Syn_WH8016_02513,IPR035416, 
CK_00034408,CK_Syn_WH8016_02516, , 
CK_00034409,CK_Syn_WH8016_02520, , 
CK_00034410,CK_Syn_WH8016_02523, , 
CK_00034411,CK_Syn_WH8016_02316,IPR032874  IPR052183, 
CK_00034412,CK_Syn_WH8016_02318,IPR031429, 
CK_00034413,CK_Syn_WH8016_02319, ,IPR019734
CK_00034414,CK_Syn_WH8016_02504, , 
CK_00034415,CK_Syn_WH8016_02528,IPR009986  IPR038208, 
CK_00034416,CK_Syn_WH8016_02527,IPR007836, 
CK_00034417,CK_Syn_WH8016_02525,IPR014278  IPR004349, 
CK_00034418,CK_Syn_WH8016_02938, , 
CK_00034419,CK_Syn_WH8016_02917,IPR017825, 
CK_00034420,CK_Syn_WH8016_02931,IPR007836, 
CK_00034421,CK_Syn_WH8016_02771,IPR049607, 
CK_00034423,CK_Syn_WH8016_02562,IPR029186, 
CK_00034424,CK_Syn_WH8016_02617,IPR029186, 
CK_00034425,CK_Syn_WH8016_02945,IPR007836, 
CK_00034426,CK_Syn_WH8016_02942,IPR031429, 
CK_00034428,CK_Syn_WH8016_02972,IPR001484, 
CK_00034429,CK_Syn_WH8016_02986,IPR000875, 
CK_00034430,CK_Syn_WH8016_02987, , 
CK_00034432,CK_Syn_WH8016_02996, , 
CK_00034434,CK_Syn_WH8020_00008,IPR025881, 
CK_00034436,CK_Syn_WH8020_00086, , 
CK_00034437,CK_Syn_WH8020_00071, , 
CK_00034438,CK_Syn_WH8020_00054,IPR029001  IPR026533  IPR050299, 
CK_00034439,CK_Syn_WH8020_00026, , 
CK_00034440,CK_Syn_WH8020_00098,IPR007457  IPR036766, 
CK_00034441,CK_Syn_WH8020_00100, , 
CK_00034442,CK_Syn_WH8020_00090,IPR031429, 
CK_00034443,CK_Syn_WH8020_00094, , 
CK_00034444,CK_Syn_WH8020_00106, , 
CK_00034445,CK_Syn_WH8020_00157, , 
CK_00034446,CK_Syn_WH8020_00159, , 
CK_00034447,CK_Syn_WH8020_00160, , 
CK_00034448,CK_Syn_WH8020_00161, , 
CK_00034449,CK_Syn_WH8020_00117, , 
CK_00034451,CK_Syn_WH8020_00168,IPR007836, 
CK_00034452,CK_Syn_WH8020_00164, , 
CK_00034453,CK_Syn_WH8020_00192,IPR031429, 
CK_00034455,CK_Syn_WH8020_00211, , 
CK_00034456,CK_Syn_WH8020_00212, , 
CK_00034457,CK_Syn_WH8020_00203,IPR025881, 
CK_00034458,CK_Syn_WH8020_00210,IPR049607, 
CK_00034459,CK_Syn_WH8020_00201,IPR025881, 
CK_00034460,CK_Syn_WH8020_00202,IPR004000  IPR004001  IPR043129, 
CK_00034461,CK_Syn_WH8020_00197, , 
CK_00034462,CK_Syn_WH8020_00258,IPR025211, 
CK_00034463,CK_Syn_WH8020_00247,IPR029186, 
CK_00034464,CK_Syn_WH8020_00242, , 
CK_00034465,CK_Syn_WH8020_00281, , 
CK_00034466,CK_Syn_WH8020_00300, , 
CK_00034467,CK_Syn_WH8020_00322, , 
CK_00034468,CK_Syn_WH8020_00324, , 
CK_00034469,CK_Syn_WH8020_00325, , 
CK_00034470,CK_Syn_WH8020_00347, , 
CK_00034471,CK_Syn_WH8020_00348, , 
CK_00034472,CK_Syn_WH8020_00384,IPR007836, 
CK_00034473,CK_Syn_WH8020_00446,IPR025211, 
CK_00034474,CK_Syn_WH8020_00422,IPR025881, 
CK_00034475,CK_Syn_BIOS-U3-1_00236,IPR007836, 
CK_00034476,CK_Syn_BIOS-U3-1_00237,IPR001296  IPR028098  IPR050194, 
CK_00034477,CK_Syn_WH8016_02134, , 
CK_00034478,CK_Syn_BIOS-U3-1_00238,IPR001296  IPR028098  IPR050194,IPR001173
CK_00034481,CK_Syn_WH8016_02058, , 
CK_00034482,CK_Syn_BIOS-U3-1_00240,IPR007836, 
CK_00034483,CK_Syn_WH8016_02063,IPR025211, 
CK_00034484,CK_Syn_BIOS-U3-1_00241,IPR001296  IPR028098  IPR050194, 
CK_00034485,CK_Syn_WH8016_02006,IPR029186, 
CK_00034486,CK_Syn_BIOS-U3-1_01080, , 
CK_00034487,CK_Syn_WH8016_02041,IPR007836, 
CK_00034488,CK_Syn_BIOS-U3-1_00245, , 
CK_00034489,CK_Syn_WH8016_01993,IPR008248  IPR035909  IPR011006  IPR000673  IPR001789,IPR000673|IPR001789
CK_00034490,CK_Syn_BIOS-U3-1_00247,IPR002204  IPR006115  IPR036291, 
CK_00034491,CK_Syn_WH8016_01998, , 
CK_00034492,CK_Syn_BIOS-U3-1_00248,IPR002047,IPR016040
CK_00034493,CK_Syn_WH8016_01990,IPR039315  IPR036061  IPR002545,IPR002545
CK_00034494,CK_Syn_WH8016_01991, ,IPR004089
CK_00034497,CK_Syn_BIOS-U3-1_00193, , 
CK_00034498,CK_Syn_BIOS-U3-1_00199,IPR000084, 
CK_00034502,CK_Syn_WH8016_02301,IPR029186, 
CK_00034504,CK_Syn_WH8016_02302, , 
CK_00034506,CK_Syn_WH8016_02305,IPR025881, 
CK_00034508,CK_Syn_WH8016_02286, , 
CK_00034509,CK_Syn_BIOS-U3-1_01075,IPR049607, 
CK_00034510,CK_Syn_WH8016_02292,IPR007836, 
CK_00034511,CK_Syn_WH8016_02293,IPR024899, 
CK_00034512,CK_Syn_BIOS-U3-1_01073, , 
CK_00034514,CK_Syn_BIOS-U3-1_00223, , 
CK_00034515,CK_Syn_BIOS-U3-1_01597,IPR046350  IPR015283  IPR002095  IPR053768, 
CK_00034516,CK_Syn_BIOS-E4-1_01045,IPR010133  IPR004288, 
CK_00034517,CK_Syn_BIOS-U3-1_01157, , 
CK_00034518,CK_Syn_BIOS-E4-1_01036, , 
CK_00034519,CK_Syn_BIOS-U3-1_00279,IPR031429, 
CK_00034520,CK_Syn_BIOS-E4-1_03046, , 
CK_00034521,CK_Syn_BIOS-U3-1_00280,IPR007836, 
CK_00034522,CK_Syn_BIOS-U3-1_00267,IPR007836, 
CK_00034524,CK_Syn_BIOS-E4-1_01065,IPR043502, 
CK_00034525,CK_Syn_BIOS-E4-1_01056, , 
CK_00034526,CK_Syn_BIOS-E4-1_00995,IPR007836, 
CK_00034527,CK_Syn_BIOS-U3-1_01172, , 
CK_00034529,CK_Syn_BIOS-U3-1_00288,IPR007836, 
CK_00034530,CK_Syn_BIOS-E4-1_01053, , 
CK_00034531,CK_Syn_BIOS-U3-1_00289, , 
CK_00034532,CK_Syn_BIOS-E4-1_01050,IPR007836, 
CK_00034533,CK_Syn_BIOS-U3-1_01595,IPR012259  IPR024072  IPR017925  IPR001796, 
CK_00034534,CK_Syn_BIOS-E4-1_01046, , 
CK_00034535,CK_Syn_WH8016_01987,IPR007836, 
CK_00034536,CK_Syn_BIOS-U3-1_00253, , 
CK_00034537,CK_Syn_WH8016_01988, , 
CK_00034538,CK_Syn_BIOS-U3-1_00254, , 
CK_00034540,CK_Syn_BIOS-U3-1_00251, , 
CK_00034541,CK_Syn_BIOS-U3-1_01136, , 
CK_00034542,CK_Syn_BIOS-U3-1_00249, , 
CK_00034544,CK_Syn_WH8016_01824, , 
CK_00034545,CK_Syn_BIOS-U3-1_00266,IPR005123  IPR041097  IPR023550  IPR006620  IPR044862, 
CK_00034546,CK_Syn_WH8016_01915,IPR012620, 
CK_00034548,CK_Syn_BIOS-U3-1_00261,IPR029063  IPR004033  IPR023576, 
CK_00034549,CK_Syn_WH8016_01967, , 
CK_00034550,CK_Syn_BIOS-U3-1_00262,IPR036291, 
CK_00034551,CK_Syn_WH8016_01968, , 
CK_00034552,CK_Syn_BIOS-U3-1_00255, , 
CK_00034554,CK_Syn_BIOS-U3-1_00259,IPR006948  IPR037029  IPR050478  IPR015424  IPR015421  IPR015422,IPR000653
CK_00034555,CK_Syn_BL107_04839,IPR007836, 
CK_00034556,CK_Syn_BIOS-U3-1_00974, , 
CK_00034557,CK_Syn_BIOS-U3-1_00946, , 
CK_00034558,CK_Syn_BIOS-U3-1_00331,IPR031429, 
CK_00034560,CK_Syn_BIOS-U3-1_01222, , 
CK_00034562,CK_Syn_BIOS-U3-1_01223,IPR007836, 
CK_00034563,CK_Syn_BIOS-U3-1_01224,IPR031429, 
CK_00034564,CK_Syn_BIOS-U3-1_00354,IPR007836, 
CK_00034565,CK_Syn_BIOS-U3-1_00330, , 
CK_00034566,CK_Syn_BIOS-U3-1_01221, , 
CK_00034567,CK_Syn_BIOS-U3-1_00329, , 
CK_00034569,CK_Syn_BIOS-U3-1_01199, , 
CK_00034570,CK_Syn_BIOS-U3-1_01194,IPR025211, 
CK_00034573,CK_Syn_BIOS-U3-1_01219,IPR029186, 
CK_00034574,CK_Syn_BIOS-U3-1_00315,IPR049607, 
CK_00034575,CK_Syn_BL107_05929, , 
CK_00034576,CK_Syn_BL107_06389,IPR019645, 
CK_00034578,CK_Syn_BL107_07119, , 
CK_00034581,CK_Syn_BL107_06594,IPR049607, 
CK_00034582,CK_Syn_BL107_06554, , 
CK_00034583,CK_Syn_BL107_06889,IPR007836, 
CK_00034584,CK_Syn_BL107_06629,IPR007836, 
CK_00034585,CK_Syn_BL107_04984,IPR029186, 
CK_00034586,CK_Syn_BL107_05904,IPR031429,IPR000863
CK_00034587,CK_Syn_BL107_05899,IPR031429, 
CK_00034588,CK_Syn_BL107_05854,IPR031429, 
CK_00034589,CK_Syn_BL107_05799, , 
CK_00034590,CK_Syn_BL107_05789,IPR006983, 
CK_00034591,CK_Syn_BL107_05689,IPR007836, 
CK_00034592,CK_Syn_BL107_05554,IPR000595  IPR018490  IPR014710,IPR000595
CK_00034594,CK_Syn_BL107_05304, , 
CK_00034595,CK_Syn_BIOS-E4-1_03068,IPR031429, 
CK_00034596,CK_Syn_BIOS-E4-1_03069, , 
CK_00034597,CK_Syn_BIOS-E4-1_00972, , 
CK_00034599,CK_Syn_BIOS-E4-1_03049, , 
CK_00034600,CK_Syn_BIOS-E4-1_03305, , 
CK_00034602,CK_Syn_BIOS-E4-1_03048,IPR031429, 
CK_00034603,CK_Syn_BIOS-E4-1_03045, , 
CK_00034605,CK_Syn_BIOS-E4-1_00188, , 
