SeqCluster,Most represented functional category
CK_00001662,IPR006076
CK_00001663,IPR000060
CK_00001664,IPR007497
CK_00001665,IPR006216|IPR006241|IPR013081
CK_00001666,IPR000863
CK_00001669,IPR000292
CK_00001670,IPR001453|IPR013484
CK_00001671,IPR003448
CK_00001672,IPR001453|IPR005110|IPR005111|IPR008284
CK_00001673,IPR002820|IPR023045
CK_00001674,IPR013481
CK_00001675,IPR006656|IPR006657|IPR006963
CK_00001676,IPR004737|IPR011701|IPR020846
CK_00001677,IPR025877
CK_00001678,IPR007197|IPR010505
CK_00001679,IPR006115|IPR029154
CK_00001681,IPR025737
CK_00001683,IPR001046
CK_00001685,IPR004846
CK_00001687,IPR001482
CK_00001688,IPR001247|IPR002381|IPR015847|IPR018336
CK_00001689,IPR028090
CK_00001691,IPR030395
CK_00001692,IPR002615
CK_00001694,IPR046691
CK_00001695,IPR004323
CK_00001696,IPR004896
CK_00001697,IPR023801
CK_00001699,IPR001451|IPR018357
CK_00001702,IPR002821|IPR003692|IPR008040
CK_00001707,IPR012447
CK_00001708,IPR001173
CK_00001710,IPR001623
CK_00001713,IPR019728
CK_00001714,IPR005490
CK_00001715,IPR012663
CK_00001716,IPR013626|IPR017941|IPR044043
CK_00001720,IPR000045|IPR010627
CK_00001722,IPR001320|IPR001638|IPR013099
CK_00001726,IPR012668
CK_00001727,IPR019882
CK_00001730,IPR003761
CK_00001732,IPR003829|IPR041602
CK_00001733,IPR008579
CK_00001735,IPR006158|IPR007197|IPR025274
CK_00001737,IPR003594|IPR003660|IPR005467
CK_00001744,IPR005299
CK_00001747,IPR001296|IPR028098
CK_00001749,IPR003749
CK_00001750,IPR001509
CK_00001751,IPR014964
CK_00001753,IPR006034|IPR020827|IPR027474|IPR040919
CK_00001755,IPR005123|IPR044862
CK_00001757,IPR018536
CK_00001758,IPR020325
CK_00001760,IPR001297|IPR008213
CK_00001761,IPR001646
CK_00001765,IPR001789
CK_00001768,IPR007710
CK_00001769,IPR000595
CK_00001772,IPR003594|IPR003660|IPR003661|IPR005467
CK_00001775,IPR006016|IPR006153
CK_00001777,IPR024654
CK_00001779,IPR041698
CK_00001780,IPR002938
CK_00001781,IPR001099|IPR012328
CK_00001782,IPR006700|IPR046886
CK_00001785,IPR007627|IPR013249|IPR014284
CK_00001786,IPR007627|IPR014284
CK_00001788,IPR001539|IPR020988
CK_00001790,IPR002075|IPR015233
CK_00001791,IPR005804
CK_00001792,IPR041601
CK_00001796,IPR010323
CK_00001800,IPR004045|IPR004046|IPR010987
CK_00001803,IPR006685|IPR049278
CK_00001811,IPR007361
CK_00001814,IPR007497|IPR010916
CK_00001815,IPR002657|IPR004706
CK_00001816,IPR001482|IPR006321
CK_00001817,IPR005325
CK_00001818,IPR004843
CK_00001820,IPR006016
CK_00001822,IPR001962|IPR006426|IPR017932
CK_00001824,IPR019831|IPR019832|IPR019833
CK_00001825,IPR035086|IPR035402
CK_00001827,IPR000298
CK_00001828,IPR001173|IPR005150
CK_00001829,IPR011862|IPR024370
CK_00001830,IPR007165
CK_00001831,IPR017926
CK_00001832,IPR009200
CK_00001833,IPR001226|IPR008254|IPR010086
CK_00001835,IPR012903|IPR022516
CK_00001836,IPR012903|IPR022516
CK_00001837,IPR012128
CK_00001840,IPR019734
CK_00001841,IPR005134
CK_00001843,IPR014123
CK_00001845,IPR020815
CK_00001846,IPR007247
CK_00001849,IPR017136
CK_00001850,IPR041581
CK_00001853,IPR001424|IPR018152
CK_00001861,IPR002657
CK_00001863,IPR021883
CK_00001866,IPR003953|IPR011280|IPR015939
CK_00001867,IPR006058|IPR017896|IPR025192
CK_00001868,IPR012903
CK_00001869,IPR048469
CK_00001871,IPR022017
CK_00001873,IPR004445
CK_00001875,IPR005804
CK_00001877,IPR000073
CK_00001878,IPR005497
CK_00001879,IPR038729
CK_00001880,IPR004843
CK_00001881,IPR002925
CK_00001882,IPR028081
CK_00001883,IPR001107|IPR018080
CK_00001884,IPR002810
CK_00001885,IPR005325
CK_00001886,IPR000917
CK_00001887,IPR004843
CK_00001889,IPR008331|IPR023188
CK_00001890,IPR001734|IPR018212
CK_00001891,IPR006130|IPR006131|IPR006132
CK_00001892,IPR002933|IPR010158|IPR011650
CK_00001893,IPR010430
CK_00001894,IPR013341|IPR018110|IPR029065
CK_00001897,IPR000763|IPR002016|IPR019793|IPR019794
CK_00001898,IPR019251
CK_00001899,IPR019251
CK_00001900,IPR002429|IPR011759
CK_00001901,IPR007791
CK_00001903,IPR001173|IPR007739
CK_00001904,IPR023753
CK_00001911,IPR001258
CK_00001918,IPR002938
CK_00001919,IPR006083
CK_00001920,IPR021734
CK_00001921,IPR001509
CK_00001924,IPR002781
CK_00001934,IPR002293
CK_00001939,IPR003749|IPR010035
CK_00001940,IPR046879
CK_00001941,IPR013216
CK_00001942,IPR014369|IPR041698
CK_00001943,IPR000515
CK_00001944,IPR007210
CK_00001946,IPR001807
CK_00001950,IPR032015
CK_00001954,IPR003362
CK_00001957,IPR007813
CK_00001958,IPR007445
CK_00001959,IPR001054|IPR007890
CK_00001960,IPR000595
CK_00001961,IPR002078|IPR017896|IPR017900
CK_00001962,IPR003856
CK_00001963,IPR001279
CK_00001964,IPR013096
CK_00001966,IPR002293
CK_00001968,IPR013216
CK_00001971,IPR012902|IPR022346
CK_00001974,IPR007516|IPR007525
CK_00001975,IPR000014
CK_00001976,IPR006685
CK_00001977,IPR053840
CK_00001978,IPR003370|IPR014047
CK_00001980,IPR005490
CK_00001982,IPR004155
CK_00001983,IPR004155
CK_00001990,IPR003846
CK_00001992,IPR001302
CK_00001993,IPR000612
CK_00001994,IPR005128
CK_00001996,IPR009388
CK_00001999,IPR000326|IPR018296
CK_00002000,IPR019993|IPR038720|IPR041679
CK_00002001,IPR011112
CK_00002002,IPR002123
CK_00002004,IPR013130
CK_00002006,IPR025458
CK_00002008,IPR005123|IPR044862
CK_00002009,IPR000792
CK_00002010,IPR019219
CK_00002011,IPR007433
CK_00002020,IPR005331
CK_00002022,IPR002716|IPR003714
CK_00002023,IPR002187
CK_00002024,IPR010293
CK_00002025,IPR022796
CK_00002026,IPR022796
CK_00002028,IPR001173|IPR007267
CK_00002030,IPR002035
CK_00002032,IPR012902
CK_00002033,IPR003594|IPR003660|IPR003661|IPR005467
CK_00002037,IPR002657
CK_00002038,IPR019734
CK_00002042,IPR046737
CK_00002043,IPR021256
CK_00002044,IPR004843|IPR006311
CK_00002045,IPR000792
CK_00002049,IPR000595|IPR012318
CK_00002050,IPR005658
CK_00002052,IPR013580
CK_00002056,IPR021737
CK_00002059,IPR002915
CK_00002060,IPR001303
CK_00002061,IPR009518
CK_00002065,IPR003594|IPR003660|IPR003661|IPR005467
CK_00002072,IPR002328|IPR013149|IPR013154
CK_00002074,IPR039428
CK_00002075,IPR005133
CK_00002076,IPR007182
CK_00002077,IPR002716
CK_00002081,IPR000890|IPR023865
CK_00002083,IPR023485
CK_00002084,IPR011962
CK_00002085,IPR005185
CK_00002087,IPR000073
CK_00002089,IPR031335
CK_00002090,IPR008146|IPR008147|IPR022147|IPR027303|IPR040577
CK_00002092,IPR002523|IPR004488
CK_00002098,IPR003495|IPR004392
CK_00002100,IPR038717|IPR047655
CK_00002102,IPR000845|IPR010049
CK_00002107,IPR005123|IPR044862
CK_00002111,IPR007803
CK_00002112,IPR000836|IPR004467
CK_00002115,IPR004155
CK_00002116,IPR012903|IPR022516
CK_00002117,IPR000792
CK_00002123,IPR018060
CK_00002124,IPR018060
CK_00002125,IPR014124|IPR019533
CK_00002126,IPR008775
CK_00002129,IPR016040
CK_00002133,IPR009666
CK_00002137,IPR005269|IPR031100
CK_00002138,IPR009722
CK_00002145,IPR002680
CK_00002148,IPR012668
CK_00002153,IPR013525
CK_00002157,IPR009081
CK_00002158,IPR007833
CK_00002160,IPR046561
CK_00002161,IPR046561
CK_00002162,IPR046561
CK_00002163,IPR002104|IPR004107|IPR044068
CK_00002165,IPR019546
CK_00002166,IPR000515|IPR005889
CK_00002167,IPR009783
CK_00002169,IPR022240
CK_00002175,IPR002129|IPR010107
CK_00002177,IPR025698
CK_00002185,IPR001602
CK_00002189,IPR003660|IPR021796
CK_00002198,IPR003807
CK_00002199,IPR012903|IPR022516
CK_00002203,IPR000014|IPR003594|IPR003661|IPR005467
CK_00002206,IPR010284
CK_00002209,IPR021134
CK_00002212,IPR001750
CK_00002214,IPR025383
CK_00002221,IPR007627
CK_00002224,IPR006685
CK_00002229,IPR001919
CK_00002231,IPR007049
CK_00002234,IPR000620
CK_00002235,IPR011577
CK_00002236,IPR001296|IPR028098
CK_00002244,IPR007362
CK_00002246,IPR024311
CK_00002247,IPR005925|IPR006035|IPR020855
CK_00002248,IPR000688
CK_00002249,IPR010067
CK_00002250,IPR000515
CK_00002251,IPR015879|IPR017941
CK_00002252,IPR023846
CK_00002253,IPR010918|IPR016188|IPR024030
CK_00002254,IPR000182|IPR024035
CK_00002255,IPR007197|IPR016779
CK_00002256,IPR000132|IPR003010|IPR023919
CK_00002257,IPR023847
CK_00002258,IPR024000
CK_00002259,IPR013022
CK_00002266,IPR000644|IPR005835
CK_00002268,IPR003331|IPR020004
CK_00002271,IPR000073
CK_00002277,IPR002656
CK_00002279,IPR012903
CK_00002282,IPR018060
CK_00002286,IPR001533
CK_00002287,IPR004843
CK_00002288,IPR001206|IPR005218|IPR045540
CK_00002297,IPR001466
CK_00002299,IPR012903
CK_00002300,IPR004445
CK_00002301,IPR000741|IPR029768
CK_00002307,IPR018971
CK_00002309,IPR013658
CK_00002314,IPR000863
CK_00002317,IPR022224
CK_00002324,IPR003669
CK_00002325,IPR032808
CK_00002330,IPR001119|IPR007049|IPR047684
CK_00002331,IPR017941|IPR044043
CK_00002332,IPR022796
CK_00002334,IPR001680|IPR002372
CK_00002335,IPR003696|IPR031730
CK_00002342,IPR012902
CK_00002343,IPR019734
CK_00002347,IPR005534
CK_00002348,IPR054274
CK_00002351,IPR001185|IPR019823|IPR037673
CK_00002352,IPR022196
CK_00002354,IPR014818|IPR024385
CK_00002359,IPR011701|IPR020846
CK_00002360,IPR038731
CK_00002364,IPR018389
CK_00002365,IPR007387
CK_00002366,IPR004681|IPR010656
CK_00002371,IPR000836
CK_00002374,IPR001300
CK_00002375,IPR003439|IPR011527
CK_00002380,IPR041698
CK_00002382,IPR006342
CK_00002383,IPR013425|IPR024983
CK_00002384,IPR001054|IPR007890
CK_00002387,IPR000719|IPR001054
CK_00002399,IPR010133
CK_00002400,IPR049453
CK_00002401,IPR049453
CK_00002412,IPR002125
CK_00002417,IPR013096
CK_00002420,IPR035421
CK_00002422,IPR000801|IPR014186
CK_00002426,IPR005828|IPR005829|IPR020846
CK_00002429,IPR002104|IPR004107|IPR011946|IPR044068
CK_00002430,IPR008840
CK_00002432,IPR002145
CK_00002433,IPR002716
CK_00002435,IPR002934
CK_00002437,IPR000399|IPR011766|IPR012000|IPR012001
CK_00002440,IPR002716|IPR006226
CK_00002442,IPR004837
CK_00002445,IPR007791
CK_00002447,IPR010559
CK_00002448,IPR001789|IPR007492
CK_00002458,IPR032808
CK_00002462,IPR006127
CK_00002464,IPR003373|IPR005225|IPR011640|IPR011642|IPR030389
CK_00002470,IPR003148|IPR006037
CK_00002481,IPR024423
CK_00002482,IPR018531
CK_00002483,IPR006380
CK_00002484,IPR001623
CK_00002485,IPR003615
CK_00002486,IPR000595|IPR017896
CK_00002488,IPR038727
CK_00002489,IPR005183
CK_00002491,IPR008537
CK_00002492,IPR013096
CK_00002495,IPR007801
CK_00002497,IPR013525
CK_00002499,IPR010721
CK_00002502,IPR013217
CK_00002503,IPR028081
CK_00002504,IPR007038
CK_00002505,IPR008146
CK_00002509,IPR002937
CK_00002512,IPR004798|IPR004837
CK_00002529,IPR007072
CK_00002531,IPR011040
CK_00002541,IPR012336|IPR013766
CK_00002545,IPR013078
CK_00002546,IPR012318|IPR018335
CK_00002548,IPR008213
CK_00002551,IPR007826
CK_00002556,IPR011104
CK_00002557,IPR000863
CK_00002558,IPR008792
CK_00002565,IPR022017
CK_00002575,IPR014897
CK_00002584,IPR002931|IPR021878
CK_00002585,IPR002881
CK_00002586,IPR003798
CK_00002596,IPR009388
CK_00002597,IPR002145
CK_00002612,IPR012595
CK_00002628,IPR004399|IPR013749
CK_00002629,IPR010664
CK_00002650,IPR006543|IPR006549
CK_00002651,IPR006076
CK_00002652,IPR005835
CK_00002653,IPR001347
CK_00002654,IPR004821|IPR011611
CK_00002655,IPR001509
CK_00002656,IPR001173
CK_00002657,IPR001296
CK_00002658,IPR005474
CK_00002659,IPR045781
CK_00002660,IPR001173
CK_00002661,IPR022796
CK_00002662,IPR027372
CK_00002664,IPR038731
CK_00002667,IPR005123|IPR026992|IPR044861
CK_00002670,IPR007822|IPR017146|IPR025410
CK_00002671,IPR012902
CK_00002676,IPR023635
CK_00002679,IPR004260
CK_00002683,IPR004182
CK_00002688,IPR003423
CK_00002692,IPR007719
CK_00002693,IPR001129
CK_00002696,IPR013216
CK_00002697,IPR023631
CK_00002699,IPR001585|IPR018225
CK_00002703,IPR001303|IPR002347|IPR020904
CK_00002705,IPR006094|IPR006311|IPR012951|IPR016166
CK_00002707,IPR001845
CK_00002708,IPR001646
CK_00002709,IPR000659|IPR011576|IPR019576|IPR019740
CK_00002721,IPR001466
CK_00002727,IPR012903|IPR022516
CK_00002729,IPR008775
CK_00002730,IPR045615
CK_00002731,IPR005594
CK_00002734,IPR005123
CK_00002735,IPR008775
CK_00002738,IPR000863|IPR003018
CK_00002741,IPR000595|IPR022744
CK_00002742,IPR008775
CK_00002747,IPR001638|IPR005115
CK_00002749,IPR007712|IPR009614
CK_00002750,IPR006442
CK_00002758,IPR012903
CK_00002760,IPR016047
CK_00002762,IPR012902
CK_00002763,IPR002937
CK_00002766,IPR002934
CK_00002767,IPR001107
CK_00002768,IPR001107
CK_00002770,IPR000594
CK_00002789,IPR000792|IPR001789
CK_00002790,IPR003594|IPR003661|IPR005467
CK_00002802,IPR003497
CK_00002805,IPR000073
CK_00002806,IPR041049
CK_00002813,IPR013096
CK_00002814,IPR002123
CK_00002822,IPR033456
CK_00002823,IPR002781
CK_00002826,IPR003370|IPR014047
CK_00002827,IPR001736|IPR025202
CK_00002828,IPR008213
CK_00002829,IPR006153
CK_00002831,IPR048813
CK_00002833,IPR007627|IPR013249|IPR014284
CK_00002834,IPR002052|IPR011639|IPR047939
CK_00002835,IPR001207
CK_00002836,IPR002559|IPR047647
CK_00002840,IPR010802
CK_00002841,IPR002716
CK_00002842,IPR002145
CK_00002843,IPR041633
CK_00002844,IPR000792
CK_00002845,IPR001807
CK_00002847,IPR012903|IPR022516
CK_00002848,IPR011701
CK_00002851,IPR006694
CK_00002852,IPR002771
CK_00002853,IPR001845
CK_00002854,IPR001279|IPR001763
CK_00002858,IPR005624
CK_00002860,IPR005226
CK_00002862,IPR021866
CK_00002864,IPR025330
CK_00002867,IPR002716
CK_00002870,IPR003959
CK_00002875,IPR022148
CK_00002876,IPR002716
CK_00002879,IPR019270
CK_00002881,IPR001173
CK_00002890,IPR021067
CK_00002892,IPR002126
CK_00002898,IPR000182|IPR017481
CK_00002911,IPR002125|IPR006262|IPR016192
CK_00002916,IPR001343
CK_00002918,IPR007694|IPR048774
CK_00002923,IPR005137
CK_00002925,IPR000866|IPR013766|IPR019479
CK_00002926,IPR001296|IPR028098
CK_00002927,IPR006439|IPR011949
CK_00002930,IPR018523
CK_00002933,IPR001117|IPR002355|IPR011706|IPR011707|IPR033138
CK_00002934,IPR002708
CK_00002935,IPR014008|IPR025714
CK_00002936,IPR008331|IPR009040
CK_00002942,IPR006109|IPR006168|IPR011128
CK_00002944,IPR003749
CK_00002945,IPR002477|IPR002502
CK_00002947,IPR005123|IPR006342
CK_00002948,IPR019734
CK_00002953,IPR002347
CK_00002955,IPR017896|IPR017900|IPR018449
CK_00002966,IPR001296
CK_00002968,IPR001296|IPR028098
CK_00002969,IPR001296|IPR028098
CK_00002970,IPR001296
CK_00002973,IPR002173|IPR011611
CK_00002974,IPR007016
CK_00002981,IPR000551
CK_00002993,IPR003409
CK_00002995,IPR025193
CK_00003012,IPR013830
CK_00003015,IPR007140
CK_00003016,IPR030374
CK_00003017,IPR025235
CK_00003022,IPR012903
CK_00003032,IPR002765
CK_00003045,IPR032809
CK_00003046,IPR000297
CK_00003047,IPR022028
CK_00003053,IPR035412
CK_00003063,IPR032428
CK_00003064,IPR035412
CK_00003068,IPR000073|IPR013595
CK_00003069,IPR004304
CK_00003070,IPR013429
CK_00003071,IPR001296|IPR028098|IPR032856
CK_00003072,IPR006311
CK_00003076,IPR024442|IPR024445
CK_00003081,IPR006685|IPR049278
CK_00003090,IPR040830
CK_00003098,IPR018247
CK_00003118,IPR044862
CK_00003120,IPR025714
CK_00003123,IPR015793
CK_00003127,IPR002376
CK_00003130,IPR005331
CK_00003134,IPR000917
CK_00003135,IPR019734
CK_00003136,IPR019734
CK_00003137,IPR001343
CK_00003138,IPR000297
CK_00003141,IPR002495
CK_00003158,IPR012902
CK_00003159,IPR005883
CK_00003160,IPR012902
CK_00003174,IPR000917
CK_00003194,IPR011659|IPR012902
CK_00003201,IPR014819|IPR015330
CK_00003220,IPR001650|IPR005114|IPR006935|IPR014001|IPR039442
CK_00003253,IPR000330|IPR001650|IPR014001
CK_00003254,IPR002052|IPR009537
CK_00003256,IPR007555
CK_00003307,IPR044068|IPR046668
CK_00003342,IPR038726
CK_00003367,IPR002680
CK_00003373,IPR001173
CK_00003374,IPR000073|IPR005944
CK_00003375,IPR004305
CK_00003380,IPR003787
CK_00003411,IPR000868
CK_00003420,IPR024525
CK_00003421,IPR022796
CK_00003430,IPR027372
CK_00003440,IPR006847
CK_00003463,IPR012447
CK_00003464,IPR012447
CK_00003476,IPR006083
CK_00003478,IPR000801
CK_00003479,IPR005320
CK_00003490,IPR007560
CK_00003494,IPR006843
CK_00003521,IPR001509
CK_00003522,IPR001509
CK_00003523,IPR013445|IPR016040
CK_00003524,IPR005835|IPR046981
CK_00003525,IPR001296
CK_00003527,IPR001296
CK_00003530,IPR049458
CK_00003538,IPR016477
CK_00003540,IPR013216
CK_00003550,IPR001173
CK_00003563,IPR005101
CK_00003571,IPR001509
CK_00003572,IPR021262
CK_00003607,IPR003691
CK_00003610,IPR007267
CK_00003613,IPR012310|IPR016059|IPR029319
CK_00003618,IPR001173|IPR007739
CK_00003620,IPR002656
CK_00003622,IPR002826|IPR045376
CK_00003624,IPR023210
CK_00003627,IPR003329
CK_00003628,IPR000182|IPR020023
CK_00003631,IPR013525|IPR047817
CK_00003634,IPR001173
CK_00003648,IPR007156
CK_00003649,IPR021484
CK_00003651,IPR012902
CK_00003658,IPR025103|IPR041677|IPR041679|IPR049468
CK_00003663,IPR019734|IPR029489
CK_00003671,IPR012903
CK_00003676,IPR000182
CK_00003687,IPR002880|IPR011766|IPR017896|IPR017900|IPR019752|IPR033412
CK_00003688,IPR006153
CK_00003691,IPR001129
CK_00003700,IPR006096|IPR006097|IPR033524
CK_00003701,IPR000620
CK_00003712,IPR008457
CK_00003719,IPR000462|IPR048254
CK_00003730,IPR001638|IPR001991
CK_00003740,IPR002781
CK_00003750,IPR014956
CK_00003757,IPR001646
CK_00003764,IPR025698
CK_00003772,IPR012447
CK_00003795,IPR002048|IPR018247
CK_00003799,IPR022796
CK_00003801,IPR007213
CK_00003802,IPR013740|IPR013766
CK_00003803,IPR010010
CK_00003805,IPR021499
CK_00003824,IPR011701|IPR020846
CK_00003827,IPR026356
CK_00003842,IPR014315|IPR032317
CK_00003852,IPR001743
CK_00003870,IPR016053
CK_00003877,IPR000537
CK_00003878,IPR022791
CK_00003879,IPR022791
CK_00003880,IPR002347|IPR020904
CK_00003881,IPR006094|IPR007173|IPR016166
CK_00003888,IPR001343|IPR013858|IPR018511
CK_00003896,IPR010133
CK_00003902,IPR006860
CK_00003911,IPR022791
CK_00003931,IPR024934|IPR024935
CK_00003964,IPR000477
CK_00003965,IPR007527
CK_00003982,IPR007461
CK_00003998,IPR021262
CK_00004010,IPR001509
CK_00004022,IPR018306
CK_00004040,IPR021291
CK_00004051,IPR012663
CK_00004077,IPR021330
CK_00004084,IPR021291
CK_00004123,IPR017941
CK_00004125,IPR032531
CK_00004126,IPR014867
CK_00004127,IPR018966
CK_00004130,IPR006935|IPR018310
CK_00004133,IPR006342
CK_00004137,IPR001509
CK_00004138,IPR027611
CK_00004141,IPR015899
CK_00004142,IPR030808
CK_00004146,IPR013216
CK_00004151,IPR006813
CK_00004192,IPR003398
CK_00004207,IPR021352
CK_00004208,IPR003594|IPR005467
CK_00004211,IPR021320
CK_00004229,IPR000262|IPR008259|IPR037396
CK_00004230,IPR006094|IPR015409|IPR016166
CK_00004259,IPR002104
CK_00004278,IPR005000
CK_00004282,IPR002591
CK_00004285,IPR002376|IPR005793
CK_00004352,IPR018677
CK_00004391,IPR019079
CK_00004404,IPR002048|IPR018247
CK_00004454,IPR011701|IPR020846
CK_00004476,IPR035421
CK_00004513,IPR040449|IPR040921
CK_00004525,IPR008523
CK_00004532,IPR018652
CK_00004563,IPR001646
CK_00004599,IPR002938
CK_00004693,IPR010004
CK_00004728,IPR007343
CK_00004733,IPR025904
CK_00004739,IPR001173
CK_00004782,IPR005368
CK_00004783,IPR021799
CK_00004790,IPR007367
CK_00004793,IPR001460|IPR002137
CK_00004797,IPR001736|IPR025202|IPR047955
CK_00004798,IPR018973|IPR047721
CK_00004799,IPR001650
CK_00004800,IPR008201
CK_00004801,IPR002934
CK_00004802,IPR011639|IPR046820
CK_00004803,IPR000330|IPR001650|IPR014001
CK_00004804,IPR013973|IPR014060
CK_00004806,IPR004099|IPR023753
CK_00004811,IPR049177
CK_00004812,IPR025420|IPR041682
CK_00004818,IPR003594|IPR003661|IPR005467
CK_00004819,IPR028081
CK_00004820,IPR005565|IPR013686|IPR034746
CK_00004824,IPR000014|IPR003594|IPR003661|IPR005467|IPR013655
CK_00004825,IPR018060|IPR035418
CK_00004827,IPR001387
CK_00004828,IPR012893|IPR017508
CK_00004829,IPR007159
CK_00004830,IPR003812|IPR006440
CK_00004836,IPR007049
CK_00004837,IPR003663|IPR005828|IPR005829|IPR020846
CK_00004848,IPR005119
CK_00004855,IPR002642
CK_00004863,IPR049453
CK_00004865,IPR022275|IPR039562
CK_00004866,IPR003423
CK_00004867,IPR012001
CK_00004875,IPR000755
CK_00004881,IPR008160
CK_00004888,IPR014061|IPR032341|IPR046838
CK_00004891,IPR045725|IPR047679
CK_00004892,IPR014858
CK_00004894,IPR007560
CK_00004895,IPR013105|IPR019734
CK_00004896,IPR003497
CK_00004897,IPR012447
CK_00004900,IPR011704
CK_00004903,IPR014942
CK_00004904,IPR025159
CK_00004915,IPR001296|IPR028098
CK_00004923,IPR001173
CK_00004926,IPR022573|IPR025587
CK_00004927,IPR022573
CK_00004928,IPR002716
CK_00004929,IPR053853
CK_00004935,IPR003477
CK_00004937,IPR000847|IPR005119
CK_00004938,IPR020946
CK_00004939,IPR002716
CK_00004940,IPR011660
CK_00004941,IPR006442
CK_00004942,IPR006442
CK_00004943,IPR045944
CK_00004944,IPR002716
CK_00004945,IPR045944
CK_00004946,IPR002716|IPR006226
CK_00004960,IPR002716
CK_00004966,IPR002145
CK_00004967,IPR002716
CK_00004969,IPR002716
CK_00004971,IPR007159|IPR047976
CK_00004973,IPR000595
CK_00004974,IPR041698
CK_00004975,IPR008651
CK_00004981,IPR019734
CK_00004985,IPR002716
CK_00004986,IPR006442
CK_00004987,IPR002716
CK_00004989,IPR015887
CK_00005013,IPR001608
CK_00005014,IPR002044|IPR006047
CK_00005017,IPR000073
CK_00005018,IPR000182
CK_00005030,IPR009875
CK_00005037,IPR047976
CK_00005040,IPR002716
CK_00005042,IPR004114
CK_00005047,IPR011204
CK_00005048,IPR013406
CK_00005049,IPR007712
CK_00005054,IPR012933
CK_00005063,IPR019243
CK_00005069,IPR014795
CK_00005070,IPR018647
CK_00005073,IPR002514
CK_00005078,IPR006685|IPR049278
CK_00005084,IPR049453
CK_00005096,IPR007159
CK_00005097,IPR004558|IPR007197
CK_00005098,IPR016053
CK_00005100,IPR021469
CK_00005101,IPR021796
CK_00005102,IPR001647|IPR023772|IPR039536
CK_00005103,IPR019243
CK_00005109,IPR009781
CK_00005111,IPR002934
CK_00005112,IPR007842
CK_00005113,IPR053853
CK_00005119,IPR015879|IPR017941
CK_00005129,IPR041698
CK_00005137,IPR000160|IPR001633
CK_00005142,IPR007367
CK_00005144,IPR003812|IPR006440
CK_00005145,IPR011112
CK_00005147,IPR003477
CK_00005154,IPR031848
CK_00005155,IPR021679
CK_00005162,IPR000182
CK_00005170,IPR001343|IPR018511
CK_00005171,IPR001173
CK_00005172,IPR005331
CK_00005176,IPR001279|IPR029228|IPR029229
CK_00005177,IPR003406
CK_00005181,IPR001343|IPR018511|IPR018946|IPR032093
CK_00005182,IPR007267|IPR008884
CK_00005187,IPR018306
CK_00005208,IPR007739
CK_00005211,IPR031811
CK_00005213,IPR000891
CK_00005223,IPR002509
CK_00005227,IPR010033|IPR010037
CK_00005250,IPR005331
CK_00005262,IPR002130|IPR020892
CK_00005263,IPR027372
CK_00005268,IPR001087
CK_00005281,IPR002898
CK_00005282,IPR000297
CK_00005286,IPR007577
CK_00005294,IPR024455
CK_00005317,IPR010330
CK_00005321,IPR007569
CK_00005345,IPR010126
CK_00005358,IPR012447
CK_00005359,IPR001915
CK_00005374,IPR005240
CK_00005392,IPR012447
CK_00005415,IPR003477
CK_00005422,IPR000073
CK_00005438,IPR013216
CK_00005441,IPR046031
CK_00005443,IPR001173
CK_00005444,IPR001296
CK_00005445,IPR007016
CK_00005446,IPR001296
CK_00005448,IPR001296
CK_00005449,IPR001296
CK_00005450,IPR001173
CK_00005451,IPR001296|IPR028098
CK_00005453,IPR001173
CK_00005454,IPR001296
CK_00005455,IPR024542
CK_00005457,IPR013747|IPR013751
CK_00005485,IPR012447
CK_00005489,IPR024787
CK_00005502,IPR007561
CK_00005546,IPR004616
CK_00005549,IPR014897
CK_00005558,IPR005594|IPR008640
CK_00005565,IPR005331
CK_00005584,IPR006076
CK_00005600,IPR032317|IPR043602
CK_00005601,IPR011701|IPR020846
CK_00005619,IPR004843
CK_00005621,IPR002125
CK_00005626,IPR012903
CK_00005648,IPR007715
CK_00005676,IPR002818
CK_00005682,IPR005097
CK_00005692,IPR018060
CK_00005700,IPR003400
CK_00005718,IPR037479
CK_00005722,IPR044068
CK_00005733,IPR041698
CK_00005735,IPR011701|IPR020846
CK_00005740,IPR007450
CK_00005756,IPR026022
CK_00005772,IPR007829
CK_00005806,IPR021279
CK_00005865,IPR025711
CK_00005869,IPR005524|IPR007029
CK_00005893,IPR000792
CK_00005910,IPR002781
CK_00005916,IPR002937|IPR006311
CK_00005921,IPR013216
CK_00005932,IPR040911
CK_00005935,IPR002201
CK_00005939,IPR005828|IPR005829|IPR020846
CK_00005942,IPR011121
CK_00005944,IPR007267
CK_00005950,IPR004680
CK_00005959,IPR005180
CK_00005963,IPR010621|IPR010679
CK_00005965,IPR009739
CK_00005967,IPR025193
CK_00005985,IPR025285
CK_00005997,IPR013130|IPR017941
CK_00005999,IPR000620
CK_00006000,IPR000182|IPR004218|IPR011761
CK_00006001,IPR010300
CK_00006036,IPR018946|IPR032093
CK_00006037,IPR010895
CK_00006053,IPR006665
CK_00006058,IPR046879
CK_00006059,IPR000595
CK_00006063,IPR033756
CK_00006064,IPR001789
CK_00006065,IPR001789|IPR003594|IPR003661|IPR005467|IPR033462
CK_00006070,IPR049453
CK_00006075,IPR000620
CK_00006076,IPR000515
CK_00006079,IPR003115
CK_00006104,IPR005835
CK_00006115,IPR003779
CK_00006132,IPR004968|IPR014818
