SeqCluster,Pfam_result
CK_00001082,PF03331
CK_00001083,PF01103|PF07244|PF08479
CK_00001084,PF01259
CK_00001085,PF01071|PF02843|PF02844
CK_00001086,PF06745
CK_00001087,PF07689
CK_00001088,PF00829
CK_00001089,PF01016
CK_00001090,PF01509|PF16198
CK_00001091,PF11691
CK_00001092,PF08486
CK_00001093,PF12706
CK_00001095,PF06325
CK_00001097,PF01479
CK_00001098,PF02875|PF08245|PF21799
CK_00001099,PF01878
CK_00001100,PF08848
CK_00001101,PF01192
CK_00001102,PF00012
CK_00001103,PF00156
CK_00001104,PF01676|PF06415
CK_00001106,PF00166
CK_00001107,PF00006|PF02874|PF22919
CK_00001108,PF00401|PF02823
CK_00001109,PF04839
CK_00001110,PF00702
CK_00001111,PF00557|PF05195
CK_00001112,PF01595
CK_00001113,PF01467
CK_00001114,PF00795|PF02540
CK_00001115,PF11805
CK_00001116,PF00231
CK_00001117,PF00006|PF00306|PF02874
CK_00001118,PF00213
CK_00001119,PF00430
CK_00001120,PF00430
CK_00001121,PF00137
CK_00001122,PF00119
CK_00001123,PF03899
CK_00001124,PF01098
CK_00001125,PF02683
CK_00001126,PF05140
CK_00001127,PF14489
CK_00001128,PF00206|PF10397
CK_00001129,PF01170|PF02926|PF22020
CK_00001130,PF07332
CK_00001131,PF02463|PF06470
CK_00001132,PF05239
CK_00001133,PF02684
CK_00001134,PF00289|PF02785|PF02786
CK_00001135,PF02325
CK_00001136,PF07444
CK_00001137,PF00005|PF06472
CK_00001138,PF01230
CK_00001139,PF01078|PF13335|PF13541
CK_00001140,PF00326
CK_00001141,PF00266
CK_00001142,PF01458
CK_00001143,PF00005
CK_00001144,PF01458|PF19295
CK_00001145,PF02878|PF02879|PF02880
CK_00001146,PF00004|PF12002|PF16193
CK_00001147,PF07176
CK_00001148,PF03309
CK_00001149,PF01507
CK_00001150,PF07992
CK_00001151,PF02386
CK_00001152,PF02080|PF02254
CK_00001153,PF07878
CK_00001156,PF00005|PF12848
CK_00001158,PF11196
CK_00001159,PF03631
CK_00001160,PF00355
CK_00001161,PF16363
CK_00001165,PF00459
CK_00001166,PF05977
CK_00001167,PF12095
CK_00001168,PF05421
CK_00001169,PF09852
CK_00001170,PF10718
CK_00001171,PF00578
CK_00001173,PF00793
CK_00001177,PF05145
CK_00001178,PF20191
CK_00001179,PF00551
CK_00001180,PF04055|PF19864
CK_00001181,PF00591|PF02885
CK_00001187,PF03358
CK_00001189,PF09835
CK_00001190,PF11688
CK_00001191,PF01979
CK_00001193,PF11832
CK_00001194,PF13239
CK_00001196,PF00487
CK_00001197,PF02633
CK_00001198,PF10742
CK_00001199,PF01081
CK_00001202,PF04055|PF10105|PF19864
CK_00001203,PF03795
CK_00001204,PF00210
CK_00001205,PF00831
CK_00001206,PF00248
CK_00001208,PF10615
CK_00001209,PF00702
CK_00001211,PF00270|PF00271|PF16124
CK_00001213,PF00226|PF01556
CK_00001214,PF00903
CK_00001215,PF00005|PF12848|PF16326
CK_00001216,PF10063
CK_00001217,PF04087
CK_00001219,PF13384
CK_00001220,PF00625
CK_00001223,PF03706
CK_00001224,PF01329
CK_00001225,PF04134
CK_00001226,PF11353
CK_00001227,PF03960
CK_00001231,PF01329
CK_00001233,PF05768
CK_00001234,PF06039
CK_00001235,PF01590
CK_00001237,PF08478
CK_00001238,PF07969
CK_00001240,PF07885
CK_00001241,PF12766
CK_00001242,PF00583
CK_00001244,PF00950
CK_00001245,PF01977|PF20695|PF20696
CK_00001246,PF00702
CK_00001248,PF07690
CK_00001250,PF01740
CK_00001251,PF00149
CK_00001252,PF02617
CK_00001253,PF12838
CK_00001254,PF22645
CK_00001255,PF05958
CK_00001256,PF01783
CK_00001257,PF00485
CK_00001258,PF04483
CK_00001259,PF01368|PF02272|PF17768
CK_00001260,PF02441
CK_00001261,PF03741
CK_00001263,PF01430
CK_00001264,PF00106
CK_00001265,PF00106
CK_00001271,PF02590
CK_00001272,PF00106
CK_00001273,PF00480
CK_00001274,PF00127
CK_00001275,PF06803
CK_00001277,PF07862
CK_00001278,PF13442
CK_00001279,PF01979
CK_00001280,PF01699
CK_00001282,PF09506
CK_00001284,PF01053
CK_00001285,PF04204
CK_00001287,PF01903
CK_00001288,PF00732|PF05199
CK_00001289,PF06799
CK_00001290,PF11165
CK_00001292,PF14233
CK_00001294,PF01433|PF11940|PF17432|PF17900
CK_00001296,PF13538|PF13604
CK_00001297,PF13354
CK_00001298,PF07690
CK_00001299,PF01257
CK_00001301,PF00085|PF07992
CK_00001302,PF13847
CK_00001303,PF08853
CK_00001304,PF01207
CK_00001305,PF00908
CK_00001306,PF12146
CK_00001307,PF13489
CK_00001308,PF11341
CK_00001309,PF00497
CK_00001310,PF00749
CK_00001311,PF00753
CK_00001312,PF13489
CK_00001313,PF00504
CK_00001314,PF03702
CK_00001316,PF02601|PF13742
CK_00001317,PF02532
CK_00001319,PF06514
CK_00001320,PF20670
CK_00001321,PF00535|PF13432
CK_00001324,PF02366
CK_00001325,PF02698
CK_00001326,PF09366
CK_00001327,PF03808
CK_00001330,PF00875|PF03441
CK_00001331,PF02419
CK_00001332,PF00571|PF01380
CK_00001333,PF00702
CK_00001334,PF00534
CK_00001335,PF00535
CK_00001336,PF02754|PF13183
CK_00001337,PF01565
CK_00001338,PF00069
CK_00001339,PF03781|PF12867
CK_00001340,PF10017
CK_00001342,PF01547
CK_00001343,PF00487
CK_00001344,PF02537
CK_00001345,PF08239
CK_00001346,PF04970
CK_00001351,PF00176|PF00271
CK_00001352,PF01206
CK_00001354,PF12697
CK_00001355,PF01077|PF03460
CK_00001356,PF00484
CK_00001357,PF14403
CK_00001358,PF00449|PF01979
CK_00001359,PF00699
CK_00001360,PF00547
CK_00001361,PF01774
CK_00001362,PF02814|PF05194
CK_00001363,PF01730
CK_00001364,PF02492
CK_00001365,PF02653
CK_00001366,PF02653
CK_00001367,PF00005|PF12399
CK_00001369,PF00128
CK_00001370,PF08282
CK_00001371,PF09988
CK_00001374,PF08670
CK_00001375,PF04434
CK_00001376,PF03446|PF14833
CK_00001378,PF00849
CK_00001379,PF01628
CK_00001381,PF01074|PF07748|PF09261
CK_00001382,PF02468
CK_00001383,PF01464|PF13174
CK_00001384,PF01869
CK_00001385,PF04932
CK_00001386,PF08495|PF10442
CK_00001388,PF07992
CK_00001389,PF09992
CK_00001390,PF13545
CK_00001392,PF19568
CK_00001393,PF06206
CK_00001394,PF05996
CK_00001395,PF05996
CK_00001396,PF13646
CK_00001397,PF09367
CK_00001398,PF09335
CK_00001399,PF00156
CK_00001400,PF02481|PF17782
CK_00001401,PF00702
CK_00001402,PF00596
CK_00001403,PF01008
CK_00001404,PF00128|PF16657
CK_00001405,PF00583|PF18014
CK_00001407,PF02620
CK_00001408,PF04012
CK_00001409,PF00155
CK_00001410,PF02577
CK_00001411,PF04131
CK_00001413,PF11267
CK_00001414,PF00504
CK_00001415,PF02350
CK_00001417,PF01565|PF02913
CK_00001420,PF21688
CK_00001421,PF01925
CK_00001422,PF00361|PF00662
CK_00001423,PF10216
CK_00001424,PF00196
CK_00001425,PF01035
CK_00001427,PF03772|PF13567
CK_00001428,PF14271
CK_00001429,PF07466
CK_00001431,PF02643
CK_00001433,PF11746
CK_00001435,PF10674
CK_00001436,PF11209
CK_00001437,PF13413
CK_00001438,PF03816
CK_00001440,PF03773
CK_00001441,PF07498
CK_00001443,PF00293
CK_00001444,PF04248
CK_00001445,PF07566
CK_00001446,PF00270|PF00271|PF08494|PF19306
CK_00001447,PF01068|PF04675|PF04679
CK_00001448,PF07521
CK_00001450,PF00528
CK_00001452,PF04230
CK_00001453,PF00528
CK_00001454,PF00528
CK_00001455,PF01547
CK_00001456,PF05299|PF17820|PF17899
CK_00001458,PF14221
CK_00001460,PF03441|PF04244
CK_00001461,PF00106
CK_00001462,PF11850
CK_00001463,PF12831
CK_00001465,PF05099
CK_00001466,PF04536
CK_00001467,PF03040
CK_00001468,PF03699
CK_00001469,PF03968
CK_00001470,PF20035
CK_00001471,PF01594
CK_00001472,PF02021
CK_00001474,PF03065
CK_00001475,PF07681
CK_00001477,PF12680
CK_00001478,PF14229
CK_00001479,PF13026
CK_00001480,PF00413
CK_00001482,PF06146
CK_00001484,PF01636
CK_00001485,PF01464
CK_00001486,PF13532
CK_00001487,PF03547
CK_00001488,PF00528
CK_00001489,PF00497
CK_00001490,PF13275
CK_00001492,PF01475
CK_00001493,PF00571
CK_00001494,PF00149
CK_00001496,PF01593
CK_00001497,PF01694
CK_00001498,PF07862
CK_00001499,PF00528
CK_00001500,PF02529
CK_00001501,PF11850
CK_00001503,PF00209
CK_00001504,PF00271|PF04851
CK_00001505,PF00849
CK_00001507,PF02005
CK_00001508,PF01053
CK_00001509,PF01053
CK_00001510,PF07690
CK_00001511,PF04191
CK_00001512,PF03079
CK_00001513,PF00483
CK_00001516,PF11211
CK_00001517,PF00474
CK_00001518,PF01709|PF20772
CK_00001519,PF01182
CK_00001520,PF14495
CK_00001521,PF01262|PF05222
CK_00001522,PF08242
CK_00001524,PF10647
CK_00001525,PF07676
CK_00001526,PF12565
CK_00001527,PF12840
CK_00001528,PF09367
CK_00001530,PF00270|PF00271|PF08482
CK_00001531,PF00512|PF02518
CK_00001532,PF01022
CK_00001534,PF00924|PF21082
CK_00001536,PF00732|PF05199
CK_00001537,PF13301
CK_00001539,PF00208|PF02812
CK_00001540,PF03441
CK_00001542,PF00534|PF13579
CK_00001543,PF13692
CK_00001544,PF04138|PF04794
CK_00001547,PF13646
CK_00001549,PF01737
CK_00001550,PF05757
CK_00001551,PF13673
CK_00001552,PF02560|PF21291
CK_00001553,PF13646
CK_00001554,PF01903
CK_00001555,PF04168
CK_00001556,PF00005
CK_00001557,PF06182
CK_00001558,PF06182
CK_00001561,PF00011
CK_00001562,PF12565
CK_00001563,PF00482
CK_00001564,PF00805
CK_00001565,PF02511
CK_00001568,PF02592
CK_00001569,PF08844
CK_00001570,PF13646
CK_00001571,PF13646
CK_00001572,PF06206
CK_00001573,PF00582
CK_00001574,PF01266|PF16901
CK_00001575,PF00370|PF02782
CK_00001576,PF00128
CK_00001580,PF07799
CK_00001582,PF07681
CK_00001583,PF00111
CK_00001584,PF00875|PF03441
CK_00001585,PF13649
CK_00001586,PF08847
CK_00001587,PF00004|PF17866
CK_00001590,PF00534|PF13439
CK_00001591,PF05597
CK_00001592,PF09367
CK_00001593,PF00486
CK_00001595,PF03992
CK_00001596,PF13450
CK_00001600,PF01297
CK_00001604,PF01593
CK_00001606,PF00027|PF13545
CK_00001608,PF04755
CK_00001609,PF00504
CK_00001610,PF00982
CK_00001612,PF08486
CK_00001613,PF20065
CK_00001614,PF00005
CK_00001619,PF00067
CK_00001621,PF02566
CK_00001624,PF00528
CK_00001625,PF01019
CK_00001626,PF00583
CK_00001628,PF00708
CK_00001629,PF00300
CK_00001631,PF01910
CK_00001632,PF14159
CK_00001635,PF04055
CK_00001637,PF00196
CK_00001638,PF03934
CK_00001641,PF07688|PF21714
CK_00001644,PF02941
CK_00001645,PF00427|PF00502
CK_00001646,PF01383
CK_00001648,PF02943
CK_00001651,PF01926|PF13167|PF16360
CK_00001654,PF01187
CK_00001655,PF01256|PF03853
CK_00001656,PF07690
CK_00001657,PF03816
CK_00001658,PF00300
CK_00001659,PF01609|PF05598
CK_00001660,PF09852
CK_00001661,PF06305
CK_00001662,PF01266
CK_00001663,PF02028
CK_00001664,PF04402
CK_00001665,PF00283
CK_00001666,PF00685
CK_00001667,PF13469
CK_00001669,PF01226
CK_00001670,PF00994
CK_00001671,PF02391
CK_00001672,PF00994|PF03453|PF03454
CK_00001673,PF01967
CK_00001674,PF09655
CK_00001675,PF00384|PF01568|PF04879
CK_00001676,PF07690
CK_00001677,PF12804
CK_00001678,PF04055|PF06463
CK_00001679,PF03446|PF14833
CK_00001681,PF13557
CK_00001683,PF01566
CK_00001685,PF00263
CK_00001687,PF00437
CK_00001688,PF01138|PF03725
CK_00001689,PF14464
CK_00001692,PF01701
CK_00001694,PF20198
CK_00001695,PF03091
CK_00001696,PF03209
CK_00001697,PF00850
CK_00001699,PF00132
CK_00001702,PF01968|PF02538|PF05378
CK_00001707,PF07864
CK_00001708,PF00535
CK_00001709,PF13450
CK_00001710,PF00226
CK_00001713,PF10792
CK_00001714,PF03734
CK_00001715,PF09493
CK_00001716,PF00355|PF08417|PF19112
CK_00001720,PF01478|PF06750
CK_00001722,PF00060|PF00497|PF07885
CK_00001726,PF13759
CK_00001727,PF10985
CK_00001730,PF02609
CK_00001732,PF02678|PF17954
CK_00001733,PF05899
CK_00001735,PF02310|PF04055|PF13282
CK_00001737,PF00672|PF02518
CK_00001744,PF03492
CK_00001747,PF00534|PF13439
CK_00001749,PF02597
CK_00001750,PF01370
CK_00001751,PF08865
CK_00001753,PF00710|PF17763
CK_00001755,PF13640
CK_00001757,PF09367
CK_00001758,PF10847
CK_00001760,PF00427|PF01383
CK_00001761,PF00805
CK_00001765,PF00072
CK_00001768,PF05014
CK_00001769,PF00027
CK_00001772,PF00512|PF02518
CK_00001774,PF13469
CK_00001775,PF00582|PF00999
CK_00001777,PF12850
CK_00001779,PF13649
CK_00001780,PF01494
CK_00001781,PF00195|PF02797
CK_00001782,PF04452
CK_00001785,PF04542|PF08281
CK_00001786,PF04542
CK_00001788,PF01136|PF12392
CK_00001790,PF02136|PF09150
CK_00001791,PF00487
CK_00001792,PF18032
CK_00001796,PF06041
CK_00001800,PF02798
CK_00001803,PF00924|PF21082
CK_00001811,PF04248
CK_00001814,PF04402
CK_00001815,PF01758
CK_00001816,PF00437
CK_00001817,PF03729
CK_00001818,PF00149
CK_00001820,PF00582
CK_00001822,PF00733|PF13522
CK_00001824,PF00081|PF02777
CK_00001825,PF07755|PF17396
CK_00001827,PF00510
CK_00001828,PF13641
CK_00001829,PF12849
CK_00001830,PF04020
CK_00001831,PF00117
CK_00001832,PF06897
CK_00001833,PF00258
CK_00001835,PF07862
CK_00001836,PF07862
CK_00001837,PF00502
CK_00001840,PF14559
CK_00001841,PF03350
CK_00001843,PF09055
CK_00001846,PF04115
CK_00001849,PF10013
CK_00001850,PF18029
CK_00001853,PF00080
CK_00001861,PF01758
CK_00001863,PF11998
CK_00001866,PF00890|PF02910
CK_00001867,PF13085|PF13183
CK_00001868,PF07862
CK_00001869,PF17775
CK_00001871,PF12204
CK_00001873,PF03616
CK_00001875,PF00487
CK_00001877,PF02089
CK_00001878,PF03742
CK_00001879,PF13476
CK_00001880,PF00149
CK_00001881,PF01738
CK_00001882,PF13458
CK_00001883,PF01145
CK_00001884,PF01957
CK_00001885,PF03729
CK_00001886,PF00884
CK_00001887,PF00149
CK_00001889,PF00210
CK_00001890,PF00474
CK_00001891,PF00185|PF02729
CK_00001892,PF01546|PF07687
CK_00001893,PF06267
CK_00001894,PF02746|PF13378
CK_00001897,PF00141
CK_00001898,PF09990
CK_00001899,PF09990
CK_00001900,PF00116|PF02790
CK_00001901,PF05099
CK_00001903,PF00535|PF05045
CK_00001904,PF07992
CK_00001918,PF01494
CK_00001919,PF00485
CK_00001920,PF11746
CK_00001921,PF01370
CK_00001924,PF01925
CK_00001934,PF13520
CK_00001939,PF02597
CK_00001940,PF20408
CK_00001941,PF08241
CK_00001942,PF13649
CK_00001943,PF00528
CK_00001944,PF04069
CK_00001946,PF00654
CK_00001950,PF16709
CK_00001954,PF02397
CK_00001957,PF05137
CK_00001958,PF04350
CK_00001959,PF00211|PF05226
CK_00001960,PF00027
CK_00001961,PF00158|PF12801
CK_00001962,PF02706
CK_00001963,PF00753|PF13370
CK_00001964,PF07883
CK_00001966,PF13520
CK_00001968,PF08241
CK_00001971,PF07963|PF12019
CK_00001974,PF04422|PF04432
CK_00001975,PF00989
CK_00001976,PF00924
CK_00001977,PF21979
CK_00001978,PF02417
CK_00001980,PF03734
CK_00001982,PF03130|PF13646
CK_00001983,PF13646
CK_00001990,PF02696
CK_00001992,PF00796
CK_00001993,PF01679
CK_00001994,PF03306
CK_00001996,PF06298
CK_00001999,PF01569
CK_00002000,PF13087|PF13482|PF13604
CK_00002001,PF07498
CK_00002002,PF01553
CK_00002004,PF01794
CK_00002006,PF14105
CK_00002008,PF13640
CK_00002009,PF00196
CK_00002010,PF09903
CK_00002011,PF04338
CK_00002020,PF03567
CK_00002022,PF02562|PF13638
CK_00002023,PF00543
CK_00002024,PF05982
CK_00002025,PF00504
CK_00002026,PF00504
CK_00002028,PF00535|PF04138
CK_00002030,PF00072|PF00486
CK_00002032,PF07963
CK_00002033,PF00512|PF02518
CK_00002037,PF01758
CK_00002042,PF20334
CK_00002043,PF10989
CK_00002044,PF00149
CK_00002045,PF00196
CK_00002049,PF00027|PF13545
CK_00002050,PF03974
CK_00002052,PF08369
CK_00002056,PF11750
CK_00002059,PF01791
CK_00002060,PF00596
CK_00002061,PF06596
CK_00002065,PF00512|PF02518
CK_00002072,PF00107|PF08240
CK_00002074,PF00420
CK_00002075,PF03334
CK_00002076,PF04039
CK_00002077,PF01850
CK_00002081,PF00871
CK_00002083,PF01451
CK_00002084,PF22769
CK_00002085,PF03733
CK_00002087,PF12697
CK_00002089,PF03200|PF22422
CK_00002090,PF00120|PF12437|PF18318
CK_00002092,PF01544
CK_00002098,PF02492
CK_00002100,PF13358|PF13565
CK_00002102,PF01048
CK_00002107,PF13640
CK_00002111,PF05118
CK_00002112,PF00156|PF00215
CK_00002115,PF03130
CK_00002116,PF07862
CK_00002117,PF00196
CK_00002123,PF12833
CK_00002124,PF12833
CK_00002125,PF10502
CK_00002126,PF05721
CK_00002129,PF13460
CK_00002133,PF06868
CK_00002137,PF03641
CK_00002138,PF06977
CK_00002145,PF01786
CK_00002148,PF13759
CK_00002153,PF01061
CK_00002156,PF13444
CK_00002157,PF00550
CK_00002158,PF05159
CK_00002160,PF20471
CK_00002161,PF20471
CK_00002162,PF20471
CK_00002163,PF00589|PF02899
CK_00002165,PF13379
CK_00002166,PF00528
CK_00002167,PF07080
CK_00002169,PF12594
CK_00002175,PF00282
CK_00002177,PF13239
CK_00002185,PF01894
CK_00002189,PF00672|PF11845
CK_00002198,PF02656
CK_00002199,PF07862
CK_00002203,PF00512|PF02518|PF13188
CK_00002206,PF05969
CK_00002209,PF01062
CK_00002212,PF00361
CK_00002214,PF13244
CK_00002221,PF04542
CK_00002224,PF00924
CK_00002229,PF00553
CK_00002231,PF04966
CK_00002234,PF00892
CK_00002235,PF01292
CK_00002244,PF04250
CK_00002246,PF13924
CK_00002247,PF00491
CK_00002248,PF01155
CK_00002249,PF09084
CK_00002250,PF00528
CK_00002251,PF00355|PF00848
CK_00002253,PF00586|PF02769
CK_00002254,PF00583
CK_00002255,PF04055
CK_00002256,PF00795
CK_00002258,PF13738
CK_00002259,PF01261
CK_00002266,PF00483|PF00571
CK_00002268,PF02350
CK_00002271,PF00561
CK_00002275,PF13704
CK_00002277,PF01757
CK_00002279,PF07862
CK_00002282,PF12833
CK_00002286,PF01329
CK_00002287,PF00149
CK_00002288,PF00781|PF19279
CK_00002289,PF13328
CK_00002297,PF00144
CK_00002299,PF07862
CK_00002300,PF03616
CK_00002301,PF00274
CK_00002307,PF09366
CK_00002309,PF08450
CK_00002314,PF00685
CK_00002317,PF12570
CK_00002324,PF02511
CK_00002325,PF07681
CK_00002330,PF00395|PF04966
CK_00002331,PF00355|PF19112
CK_00002332,PF00504
CK_00002334,PF00400|PF13360
CK_00002335,PF02543|PF16861
CK_00002342,PF07963
CK_00002347,PF03783
CK_00002348,PF22541
CK_00002351,PF01741
CK_00002352,PF12518
CK_00002354,PF08706|PF12965
CK_00002359,PF07690
CK_00002360,PF13231
CK_00002364,PF03480
CK_00002365,PF04290
CK_00002366,PF06808
CK_00002371,PF00156
CK_00002374,PF00648
CK_00002375,PF00005
CK_00002380,PF13649
CK_00002382,PF05050
CK_00002383,PF12770|PF12951
CK_00002384,PF00211|PF05226
CK_00002386,PF12974
CK_00002387,PF00069|PF00211
CK_00002400,PF13515
CK_00002401,PF13515
CK_00002412,PF00383
CK_00002417,PF07883
CK_00002420,PF17289
CK_00002422,PF00756
CK_00002426,PF00083
CK_00002429,PF00589|PF13495
CK_00002430,PF05565
CK_00002432,PF01402
CK_00002433,PF01850
CK_00002435,PF01909
CK_00002437,PF00205|PF02775|PF02776
CK_00002440,PF01850
CK_00002442,PF01699
CK_00002445,PF05099
CK_00002447,PF06580
CK_00002448,PF00072|PF04397
CK_00002458,PF07681
CK_00002462,PF01297
CK_00002464,PF02421|PF07664|PF07670
CK_00002470,PF02254
CK_00002481,PF11251
CK_00002482,PF09351
CK_00002483,PF05116
CK_00002484,PF00226
CK_00002485,PF13391
CK_00002486,PF00027|PF12801
CK_00002488,PF13521
CK_00002489,PF03713
CK_00002491,PF05684
CK_00002492,PF07883
CK_00002495,PF05114
CK_00002497,PF01061
CK_00002499,PF06966
CK_00002502,PF08242
CK_00002503,PF13458
CK_00002504,PF04955
CK_00002505,PF00120
CK_00002509,PF01593
CK_00002512,PF01699
CK_00002529,PF04989
CK_00002531,PF13088
CK_00002541,PF13462
CK_00002545,PF00300
CK_00002546,PF13545
CK_00002551,PF05151
CK_00002556,PF07475
CK_00002557,PF00685
CK_00002558,PF05402
CK_00002565,PF12204
CK_00002575,PF08789
CK_00002584,PF01841|PF11992
CK_00002585,PF01882
CK_00002586,PF02646
CK_00002596,PF06298
CK_00002597,PF01402
CK_00002612,PF08041
CK_00002628,PF08543
CK_00002629,PF06835
CK_00002650,PF13242
CK_00002651,PF01266
CK_00002652,PF00483
CK_00002653,PF13580
CK_00002654,PF00294|PF01467
CK_00002655,PF01370
CK_00002656,PF00535
CK_00002657,PF00534
CK_00002658,PF00456
CK_00002659,PF19588
CK_00002660,PF00535
CK_00002661,PF00504
CK_00002662,PF13449|PF22494
CK_00002664,PF13231
CK_00002667,PF03171|PF14226
CK_00002670,PF05147|PF13575
CK_00002671,PF07963
CK_00002676,PF01327
CK_00002679,PF03013
CK_00002683,PF02893
CK_00002688,PF02321
CK_00002692,PF05023
CK_00002693,PF01124
CK_00002696,PF08241
CK_00002697,PF01425
CK_00002699,PF00923
CK_00002703,PF00106|PF00596
CK_00002705,PF01565|PF08031
CK_00002707,PF01022
CK_00002708,PF00805
CK_00002709,PF01243|PF10590
CK_00002721,PF00144
CK_00002727,PF07862
CK_00002729,PF05721
CK_00002730,PF20045
CK_00002731,PF03895
CK_00002734,PF22814
CK_00002735,PF05721
CK_00002738,PF00685|PF01590
CK_00002741,PF00027|PF12147
CK_00002742,PF05721
CK_00002747,PF00497|PF03458
CK_00002749,PF06769
CK_00002750,PF02604
CK_00002758,PF07862
CK_00002760,PF01551
CK_00002762,PF07963
CK_00002763,PF01593
CK_00002766,PF01909
CK_00002767,PF01145
CK_00002768,PF01145
CK_00002770,PF00899
CK_00002789,PF00072|PF00196
CK_00002790,PF00512|PF02518|PF22673
CK_00002802,PF02498
CK_00002805,PF12697
CK_00002806,PF18480
CK_00002813,PF07883
CK_00002814,PF01553
CK_00002822,PF17195
CK_00002823,PF01925
CK_00002826,PF02417
CK_00002827,PF13091
CK_00002828,PF01383
CK_00002829,PF00999
CK_00002831,PF20911
CK_00002833,PF04542|PF08281
CK_00002834,PF07669
CK_00002835,PF00872
CK_00002836,PF01609
CK_00002840,PF07176
CK_00002841,PF01850
CK_00002842,PF01402
CK_00002843,PF18765
CK_00002844,PF00196
CK_00002845,PF00654
CK_00002847,PF07862
CK_00002848,PF07690
CK_00002851,PF04116
CK_00002852,PF01914
CK_00002853,PF01022
CK_00002854,PF00581|PF00753
CK_00002858,PF03928
CK_00002860,PF03649
CK_00002862,PF11964
CK_00002864,PF14020
CK_00002867,PF01850
CK_00002870,PF13304
CK_00002875,PF12441
CK_00002876,PF10130
CK_00002879,PF10049
CK_00002881,PF00535
CK_00002890,PF11397
CK_00002898,PF00583|PF16261
CK_00002911,PF00383
CK_00002916,PF00353
CK_00002918,PF13481
CK_00002923,PF03437
CK_00002925,PF00578|PF10417
CK_00002926,PF00534|PF13439
CK_00002927,PF00702
CK_00002930,PF13714
CK_00002933,PF00394|PF07731|PF07732
CK_00002934,PF01837
CK_00002935,PF13847
CK_00002936,PF00210
CK_00002938,PF03237
CK_00002942,PF01210|PF07479
CK_00002944,PF02597
CK_00002945,PF01471|PF01510
CK_00002947,PF05050
CK_00002953,PF00106
CK_00002955,PF00037|PF09383
CK_00002959,PF13524
CK_00002966,PF13692
CK_00002968,PF00534|PF13439
CK_00002969,PF00534|PF13439
CK_00002970,PF00534
CK_00002973,PF00294
CK_00002974,PF04932
CK_00002993,PF02493
CK_00002995,PF13448
CK_00003002,PF07731
CK_00003012,PF13472
CK_00003015,PF03994
CK_00003016,PF01564
CK_00003017,PF13785
CK_00003022,PF07862
CK_00003032,PF01906
CK_00003045,PF13795
CK_00003046,PF13145
CK_00003047,PF12228
CK_00003053,PF04466
CK_00003063,PF16509
CK_00003064,PF03237
CK_00003068,PF00561|PF08386
CK_00003069,PF03069
CK_00003070,PF09723
CK_00003071,PF00534|PF13439|PF14742|PF22422
CK_00003072,PF13379
CK_00003076,PF12760|PF12762
CK_00003081,PF00924|PF21082
CK_00003090,PF18851
CK_00003098,PF00353|PF01764
CK_00003118,PF13640
CK_00003120,PF13489
CK_00003123,PF00224
CK_00003127,PF00551
CK_00003130,PF03567
CK_00003134,PF00884
CK_00003135,PF13181|PF14559
CK_00003136,PF13181
CK_00003137,PF00353
CK_00003138,PF00639
CK_00003141,PF01501
CK_00003158,PF07963
CK_00003159,PF11104
CK_00003160,PF07963
CK_00003174,PF00884
CK_00003194,PF07676|PF07963
CK_00003201,PF13481
CK_00003220,PF00271|PF03457|PF04851|PF13156
CK_00003253,PF00176|PF00271
CK_00003254,PF06634
CK_00003256,PF04465
CK_00003307,PF20172
CK_00003342,PF12705
CK_00003367,PF01786
CK_00003373,PF00535
CK_00003374,PF00561
CK_00003375,PF03070
CK_00003379,PF13412
CK_00003380,PF02635
CK_00003411,PF00857
CK_00003420,PF12707
CK_00003421,PF00504
CK_00003430,PF13449
CK_00003440,PF04760
CK_00003463,PF07864
CK_00003464,PF07864
CK_00003476,PF00485
CK_00003478,PF00756
CK_00003479,PF03575
CK_00003490,PF04471
CK_00003494,PF04755
CK_00003521,PF01370
CK_00003522,PF01370
CK_00003523,PF16363
CK_00003524,PF00483
CK_00003525,PF00534
CK_00003527,PF00534
CK_00003530,PF14897
CK_00003538,PF01633
CK_00003540,PF08241
CK_00003550,PF00535
CK_00003563,PF03441
CK_00003571,PF01370
CK_00003572,PF10999
CK_00003607,PF02537
CK_00003610,PF04138
CK_00003613,PF01068|PF14743
CK_00003618,PF00535|PF05045|PF22772
CK_00003620,PF01757
CK_00003622,PF01973|PF20157
CK_00003624,PF00248
CK_00003627,PF02348
CK_00003628,PF13302
CK_00003630,PF13578
CK_00003631,PF01061
CK_00003634,PF00535
CK_00003648,PF04011
CK_00003649,PF11335
CK_00003651,PF07963
CK_00003658,PF13086|PF13087|PF13195|PF18741
CK_00003663,PF13181|PF13432|PF13844
CK_00003671,PF07862
CK_00003676,PF00583
CK_00003687,PF01558|PF01855|PF02775|PF17147
CK_00003688,PF00999
CK_00003691,PF01124
CK_00003700,PF00208|PF02812
CK_00003701,PF00892
CK_00003712,PF05425
CK_00003719,PF01066
CK_00003730,PF00375|PF00497
CK_00003740,PF01925
CK_00003750,PF08857
CK_00003757,PF00805
CK_00003764,PF13239
CK_00003772,PF07864
CK_00003795,PF13753
CK_00003799,PF00504
CK_00003801,PF04072
CK_00003802,PF08534
CK_00003803,PF07465
CK_00003805,PF11353
CK_00003824,PF07690
CK_00003842,PF16576
CK_00003852,PF01405
CK_00003870,PF01126
CK_00003877,PF01040
CK_00003878,PF03706|PF12710
